gene	chr	tss
CD44	11	35138869
SLC1A2	11	35420063
PAMR1	11	35526031
FJX1	11	35618186
TRIM44	11	35662751
LDLRAD3	11	35943980
COMMD9	11	36289449
PRR5L	11	36375984
TRAF6	11	36510313
RAG1	11	36568012
RAG2	11	36598279
C11orf74	11	36594492
LINC01493	11	38648857
LRRC4C	11	41459636
LINC01499	11	41714567
API5	11	43311954
TTC17	11	43358884
MIR670HG	11	43569305
HSD17B12	11	43680592
ALKBH3	11	43880806
C11orf96	11	43942555
ACCSL	11	44047980
ACCS	11	44066261
EXT2	11	44095548
ALX4	11	44310166
CD82	11	44565590
TSPAN18	11	44764425
TP53I11	11	44950904
PRDM11	11	45147342
SYT13	11	45286333
CHST1	11	45665656
DKFZp779M0652	11	45771431
SLC35C1	11	45804071
CRY2	11	45847405
MAPK8IP1	11	45885495
C11orf94	11	45907282
PEX16	11	45918123
LARGE2	11	45921620
PHF21A	11	46121434
CREB3L1	11	46277637
DGKZ	11	46347405
MDK	11	46381654
CHRM4	11	46386608
AMBRA1	11	46594069
HARBI1	11	46617227
ATG13	11	46617275
ARHGAP1	11	46700665
ZNF408	11	46700766
F2	11	46719165
CKAP5	11	46846308
LRP4	11	46918622
C11orf49	11	46936688
ARFGAP2	11	47177125
PACSIN3	11	47186459
DDB2	11	47214941
ACP2	11	47248847
NR1H3	11	47257916
MADD	11	47269647
MYBPC3	11	47352702
SPI1	11	47378576
SLC39A13	11	47408494
PSMC3	11	47426473
RAPSN	11	47449178
CELF1	11	47489024
PTPMT1	11	47565429
KBTBD4	11	47579015
NDUFS3	11	47579009
FAM180B	11	47586677
C1QTNF4	11	47594409
MTCH2	11	47642654
AGBL2	11	47715376
FNBP4	11	47767478
NUP160	11	47848544
PTPRJ	11	47980557
OR4B1	11	48216809
OR4X2	11	48245103
OR4X1	11	48263860
OR4S1	11	48306222
OR4C3	11	48324940
OR4C5	11	48366488
OR4A47	11	48488792
TRIM49B	11	49031599
TRIM64C	11	49059112
FOLH1	11	49208670
OR4C13	11	49952390
OR4C12	11	49982535
OR4A5	11	54706831
OR4C46	11	54603998
TRIM48	11	55262181
OR4A16	11	55343200
OR4A15	11	55367883
OR4C15	11	55554306
OR4C16	11	55572127
OR4C11	11	55604398
OR4P4	11	55638357
OR4S2	11	55650903
OR4C6	11	55665166
OR5D13	11	55773437
OR5D14	11	55795555
OR5L1	11	55811366
OR5D18	11	55819629
OR5L2	11	55827218
OR5D16	11	55838751
TRIM51	11	55883296
OR5W2	11	55914582
OR5I1	11	55936400
OR10AG1	11	55968463
OR5F1	11	55994625
OR5AS1	11	56030418
OR8I2	11	56093307
OR8H2	11	56105042
OR8H3	11	56122372
OR8J3	11	56137718
OR8K5	11	56160317
OR5J2	11	56176617
OR5T2	11	56233185
OR5T3	11	56252199
OR5T1	11	56275638
OR8H1	11	56291062
OR8K3	11	56318306
OR8K1	11	56346038
OR8J1	11	56360214
OR8U1	11	56375623
OR5R1	11	56418232
OR5M9	11	56463401
OR5M3	11	56470538
OR5M8	11	56491370
OR5M11	11	56543257
OR5M10	11	56577721
OR5M1	11	56613502
OR5AP2	11	56642439
OR5AR1	11	56663685
OR9G1	11	56700387
OR9G4	11	56743811
OR5AK2	11	56988913
LRRC55	11	57181746
APLNR	11	57237453
TNKS1BP1	11	57324939
SSRP1	11	57335877
P2RX3	11	57338366
PRG3	11	57381150
PRG2	11	57390657
SLC43A3	11	57427148
RTN4RL2	11	57460536
SLC43A1	11	57515719
TIMM10	11	57530759
SMTNL1	11	57542640
UBE2L6	11	57567707
SERPING1	11	57597553
YPEL4	11	57649944
CLP1	11	57657743
ZDHHC5	11	57668001
MED19	11	57712323
TMX2	11	57712522
TMX2-CTNND1	11	57712522
SELENOH	11	57741249
BTBD18	11	57751781
CTNND1	11	57761761
OR9Q1	11	58023880
OR6Q1	11	58030952
OR9I1	11	58119444
OR9Q2	11	58190433
OR1S2	11	58204181
OR1S1	11	58214744
OR10Q1	11	58228918
OR10W1	11	58268260
OR5B17	11	58359069
OR5B3	11	58403409
OR5B2	11	58423313
OR5B12	11	58440173
OR5B21	11	58508105
LPXN	11	58578239
ZFP91	11	58579113
ZFP91-CNTF	11	58579113
CNTF	11	58622672
GLYAT	11	58731974
GLYATL2	11	58844524
GLYATL1	11	58943248
FAM111B	11	59107184
FAM111A	11	59142745
DTX4	11	59172338
MPEG1	11	59213021
OR5AN1	11	59364458
OR5A2	11	59422953
OR5A1	11	59443168
OR4D6	11	59456960
OR4D10	11	59477429
OR4D11	11	59503575
OR4D9	11	59514912
OSBP	11	59616144
PATL1	11	59669038
OR10V1	11	59713845
STX3	11	59755058
MRPL16	11	59810872
GIF	11	59845501
TCN1	11	59866568
OOSP1	11	59942878
OOSP2	11	60040274
MS4A3	11	60056627
MS4A2	11	60088663
MS4A6A	11	60183331
MS4A4A	11	60280540
MS4A6E	11	60334881
MS4A7	11	60378484
MS4A14	11	60396013
MS4A5	11	60429588
MS4A1	11	60455808
MS4A12	11	60492777
MS4A13	11	60515412
MS4A8	11	60699573
MS4A18	11	60724008
MS4A15	11	60756866
MS4A10	11	60785347
CCDC86	11	60841955
PTGDR2	11	60855971
ZP1	11	60867541
PRPF19	11	60906589
TMEM109	11	60913898
TMEM132A	11	60924440
SLC15A3	11	60951785
CD6	11	60971640
CD5	11	61102457
VPS37C	11	61161444
PGA3	11	61203512
PGA4	11	61222348
PGA5	11	61241175
VWCE	11	61295316
DDB1	11	61333212
TKFC	11	61333181
CYB561A3	11	61362283
TMEM138	11	61362000
TMEM216	11	61392359
CPSF7	11	61429992
SDHAF2	11	61430124
PPP1R32	11	61481112
LRRC10B	11	61508799
SYT7	11	61580872
DAGLA	11	61680432
DKFZP434K028	11	61757664
MYRF	11	61755388
TMEM258	11	61792613
FEN1	11	61792636
FADS1	11	61817057
FADS2	11	61828032
FADS3	11	61891545
RAB3IL1	11	61917609
BEST1	11	61949883
FTH1	11	61967660
INCENP	11	62123972
SCGB1D1	11	62190237
SCGB2A1	11	62208667
SCGB1D2	11	62242251
SCGB2A2	11	62270154
SCGB1D4	11	62299064
ASRGL1	11	62337301
SCGB1A1	11	62419034
AHNAK	11	62546860
EEF1G	11	62573988
TUT1	11	62591637
MTA2	11	62601840
EML3	11	62612765
ROM1	11	62612740
B3GAT3	11	62622175
GANAB	11	62646726
INTS5	11	62653302
C11orf98	11	62665216
LBHD1	11	62671769
METTL12	11	62665306
UQCC3	11	62671653
UBXN1	11	62679117
LRRN4CL	11	62689899
BSCL2	11	62706315
HNRNPUL2-BSCL2	11	62727384
GNG3	11	62707593
HNRNPUL2	11	62727385
TTC9C	11	62728479
ZBTB3	11	62754184
POLR2G	11	62761538
TAF6L	11	62771302
TMEM179B	11	62787401
TMEM223	11	62792014
NXF1	11	62805492
STX5	11	62832091
WDR74	11	62840156
SNHG1	11	62855888
SLC3A2	11	62856011
CHRM1	11	62921540
SLC22A6	11	62985023
SLC22A8	11	63015845
SLC22A24	11	63144221
SLC22A25	11	63229652
SLC22A10	11	63289957
SLC22A9	11	63369788
HRASLS5	11	63491208
LGALS12	11	63506051
RARRES3	11	63536800
HRASLS2	11	63563383
PLA2G16	11	63614437
ATL3	11	63671730
RTN3	11	63681449
C11orf95	11	63768641
C11orf84	11	63813373
MARK2	11	63838927
RCOR2	11	63916844
NAA40	11	63938969
COX8A	11	63974606
OTUB1	11	63985852
MACROD1	11	64166113
FLRT1	11	64103889
STIP1	11	64186114
FERMT3	11	64206679
TRPT1	11	64226254
NUDT22	11	64226273
DNAJC4	11	64230431
VEGFB	11	64234583
FKBP2	11	64240940
PPP1R14B	11	64246941
PLCB3	11	64251522
BAD	11	64284704
GPR137	11	64286109
KCNK4	11	64291320
KCNK4-TEX40	11	64291721
CATSPERZ	11	64300390
ESRRA	11	64305527
TRMT112	11	64318084
PRDX5	11	64318087
CCDC88B	11	64340217
RPS6KA4	11	64359152
SLC22A11	11	64555600
SLC22A12	11	64590809
NRXN2	11	64723188
RASGRP2	11	64744158
PYGM	11	64760297
SF1	11	64778844
MAP4K2	11	64803254
MEN1	11	64810716
CDC42BPG	11	64844569
EHD1	11	64879713
MIR194-2HG	11	64893449
ATG2A	11	64917250
PPP2R5B	11	64924670
GPHA2	11	64935888
MAJIN	11	64972091
BATF2	11	64990277
ARL2	11	65014112
ARL2-SNX15	11	65014112
SNX15	11	65027407
SAC3D1	11	65040903
NAALADL1	11	65058537
CDCA5	11	65084143
ZFPL1	11	65084221
TMEM262	11	65089109
VPS51	11	65096114
TM7SF2	11	65111853
ZNHIT2	11	65117738
FAU	11	65122200
MRPL49	11	65122243
SYVN1	11	65134532
SPDYC	11	65170235
CAPN1	11	65181832
POLA2	11	65261851
CDC42EP2	11	65314817
DPF2	11	65333753
TIGD3	11	65354810
SLC25A45	11	65382674
FRMD8	11	65386569
NEAT1	11	65422797
MALAT1	11	65497737
TALAM1	11	65507432
SCYL1	11	65525076
LTBP3	11	65558228
SSSCA1-AS1	11	65570413
SSSCA1	11	65570458
FAM89B	11	65572348
EHBP1L1	11	65576037
KCNK7	11	65595996
MAP3K11	11	65614249
PCNX3	11	65616311
SIPA1	11	65638106
RELA	11	65662972
KAT5	11	65712001
RNASEH2C	11	65720938
AP5B1	11	65780591
OVOL1	11	65787033
SNX32	11	65833938
CFL1	11	65858333
MUS81	11	65860400
EFEMP2	11	65872934
CTSW	11	65879812
FIBP	11	65888539
CCDC85B	11	65890403
FOSL1	11	65900526
C11orf68	11	65919060
DRAP1	11	65919256
TSGA10IP	11	65945643
SART1	11	65961688
EIF1AD	11	66002166
BANF1	11	66002078
CST6	11	66011990
CATSPER1	11	66026517
GAL3ST3	11	66049180
SF3B2	11	66052344
PACS1	11	66070352
KLC2	11	66257702
RAB1B	11	66268584
CNIH2	11	66278200
YIF1A	11	66289167
TMEM151A	11	66291901
CD248	11	66317044
RIN1	11	66336529
BRMS1	11	66345111
B4GAT1	11	66347690
SLC29A2	11	66371820
NPAS4	11	66421003
MRPL11	11	66438848
PELI3	11	66466864
DPP3	11	66480012
BBS1	11	66510647
ZDHHC24	11	66546238
ACTN3	11	66546840
CTSF	11	66568576
CCDC87	11	66593083
CCS	11	66593218
RBM14	11	66616581
RBM14-RBM4	11	66616581
RBM4	11	66638616
RBM4B	11	66677921
SPTBN2	11	66721399
C11orf80	11	66744735
RCE1	11	66843411
PC	11	66958376
LRFN4	11	66857404
C11orf86	11	66975282
SYT12	11	67023344
RHOD	11	67056817
KDM2A	11	67119268
GRK2	11	67266433
ANKRD13D	11	67289290
SSH3	11	67303447
POLD4	11	67353596
CLCF1	11	67373735
RAD9A	11	67391951
PPP1CA	11	67401905
TBC1D10C	11	67403912
CARNS1	11	67415677
RPS6KB2	11	67428463
PTPRCAP	11	67437682
CORO1B	11	67443512
GPR152	11	67452729
CABP4	11	67455346
TMEM134	11	67469277
AIP	11	67483028
PITPNM1	11	67505372
CDK2AP2	11	67508187
CABP2	11	67523428
GSTP1	11	67583594
C11orf72	11	67606706
NDUFV1	11	67606851
NUDT8	11	67629937
TBX10	11	67639560
ACY3	11	67650659
ALDH3B2	11	67674631
UNC93B1	11	68004125
ALDH3B1	11	68010304
NDUFS8	11	68030616
TCIRG1	11	68038994
CHKA	11	68121391
KMT5B	11	68213317
C11orf24	11	68272001
LRP5	11	68312608
PPP6R3	11	68460717
GAL	11	68684474
TESMIN	11	68751520
CPT1A	11	68841931
MRPL21	11	68903835
IGHMBP2	11	68903850
MRGPRD	11	68980986
MRGPRF	11	69013382
TPCN2	11	69048881
MYEOV	11	69294137
LINC01488	11	69485560
CCND1	11	69641104
ORAOV1	11	69675397
FGF19	11	69704338
FGF4	11	69775403
FGF3	11	69819424
ANO1	11	70078301
FADD	11	70203162
PPFIA1	11	70270699
CTTN	11	70398505
SHANK2	11	70661840
DHCR7	11	71448431
NADSYN1	11	71453170
KRTAP5-7	11	71527266
KRTAP5-8	11	71538024
KRTAP5-9	11	71548419
KRTAP5-10	11	71565562
KRTAP5-11	11	71582875
FAM86C1	11	71787510
ZNF705E	11	71821547
DEFB108B	11	71833199
RNF121	11	71928721
IL18BP	11	71998911
NUMA1	11	72080693
LRTOMT	11	72080330
LAMTOR1	11	72103387
ANAPC15	11	72112776
FOLR3	11	72135709
FOLR1	11	72189557
FOLR2	11	72216774
INPPL1	11	72224837
PHOX2A	11	72244176
CLPB	11	72434684
LINC01537	11	72570655
PDE2A	11	72642460
ARAP1	11	72722358
STARD10	11	72793705
ATG16L2	11	72814405
FCHSD2	11	73142098
P2RY2	11	73218297
P2RY6	11	73264504
ARHGEF17	11	73308617
RELT	11	73376667
FAM168A	11	73598189
PLEKHB1	11	73646177
RAB6A	11	73761156
MRPL48	11	73787871
COA4	11	73876845
PAAF1	11	73876968
DNAJB13	11	73950318
UCP2	11	73982844
UCP3	11	74009237
C2CD3	11	74171019
PPME1	11	74171062
P4HA3	11	74311676
P4HA3-AS1	11	74311361
PGM2L1	11	74398465
KCNE3	11	74467555
LIPT2	11	74493713
POLD3	11	74592529
CHRDL2	11	74719303
RNF169	11	74748867
XRRA1	11	74949187
SPCS2	11	74949246
NEU3	11	74988904
OR2AT4	11	75089713
SLCO2B1	11	75150986
TPBGL	11	75240904
ARRB1	11	75351831
RPS3	11	75399490
KLHL35	11	75430629
GDPD5	11	75525554
SERPINH1	11	75562055
MAP6	11	75668434
MOGAT2	11	75717818
DGAT2	11	75768732
UVRAG	11	75815166
WNT11	11	76206530
THAP12	11	76380965
EMSY	11	76445024
LRRC32	11	76670000
TSKU	11	76784147
ACER3	11	76860872
B3GNT6	11	77034340
CAPN5	11	77066944
OMP	11	77102839
MYO7A	11	77128263
GDPD4	11	77287418
PAK1	11	77474063
AQP11	11	77589634
CLNS1A	11	77637806
RSF1	11	77820834
AAMDC	11	77821113
INTS4	11	77994671
KCTD14	11	78023274
NDUFC2-KCTD14	11	78080219
THRSP	11	78063860
NDUFC2	11	78080219
ALG8	11	78139653
KCTD21	11	78188629
USP35	11	78188811
GAB2	11	78341880
NARS2	11	78574864
TENM4	11	79440651
MIR4300HG	11	82403913
FAM181B	11	82733864
PRCP	11	82900603
DDIAS	11	82901694
RAB30	11	83071923
RAB30-AS1	11	83072065
PCF11	11	83157094
PCF11-AS1	11	83187484
ANKRD42	11	83193738
CCDC90B	11	83286407
DLG2	11	84923421
TMEM126B	11	85628572
TMEM126A	11	85647918
CREBZF	11	85665138
CCDC89	11	85686277
SYTL2	11	85719350
CCDC83	11	85855100
PICALM	11	86069097
EED	11	86244383
HIKESHI	11	86302226
CCDC81	11	86374735
ME3	11	86672385
PRSS23	11	86800239
FZD4	11	86955398
TMEM135	11	87037843
RAB38	11	88175467
CTSC	11	88337787
GRM5	11	89063678
TYR	11	89177871
NOX4	11	89491565
TRIM77	11	89710298
TRIM49	11	89808575
TRIM64B	11	89876017
TRIM64	11	89968503
TRIM49C	11	90031105
UBTFL1	11	90085949
NAALAD2	11	90134649
CHORDC1	11	90223364
DISC1FP1	11	90251231
FAT3	11	92352095
MTNR1B	11	92969622
SLC36A4	11	93197975
DEUP1	11	93330716
SMCO4	11	93543380
CEP295	11	93661649
TAF1D	11	93741537
C11orf54	11	93741593
MED17	11	93784238
VSTM5	11	93850502
HEPHL1	11	94021211
PANX1	11	94128927
IZUMO1R	11	94305636
GPR83	11	94401419
MRE11	11	94493874
ANKRD49	11	94493986
C11orf97	11	94512528
FUT4	11	94543850
PIWIL4	11	94567307
AMOTL1	11	94768341
CWC15	11	94973612
KDM4D	11	94973680
KDM4E	11	95025257
SRSF8	11	95066876
ENDOD1	11	95089809
SESN3	11	95231082
FAM76B	11	95789790
CEP57	11	95790460
MTMR2	11	95924207
MAML2	11	96343180
CCDC82	11	96389919
JRKL	11	96389993
JRKL-AS1	11	96506877
CNTN5	11	99020975
ARHGAP42	11	100687675
TMEM133	11	100992079
PGR	11	101129063
PGR-AS1	11	101129076
TRPC6	11	101583928
ANGPTL5	11	101916522
CEP126	11	101915014
C11orf70	11	102047437
YAP1	11	102110460
BIRC3	11	102317449
BIRC2	11	102347181
TMEM123	11	102453044
MMP7	11	102530753
MMP20	11	102625332
MMP27	11	102705737
MMP8	11	102724954
MMP10	11	102780628
MMP1	11	102798235
MMP3	11	102843689
MMP12	11	102875034
MMP13	11	102955734
DCUN1D5	11	103092215
DYNC2H1	11	103109430
PDGFD	11	104164299
DDI1	11	104036579
CASP4	11	104968598
CASP5	11	105023168
CASP1	11	105035157
CARD16	11	105045324
CARD17	11	105101431
CARD18	11	105139734
GRIA4	11	105610072
MSANTD4	11	106022287
KBTBD3	11	106077738
AASDHPPT	11	106077564
GUCY1A2	11	107018445
CWF19L2	11	107457846
ALKBH8	11	107565735
ELMOD1	11	107591090
SLN	11	107712061
SLC35F2	11	107859188
RAB39A	11	107928474
CUL5	11	108008732
ACAT1	11	108121530
NPAT	11	108222638
ATM	11	108222831
C11orf65	11	108467531
KDELC2	11	108498432
EXPH5	11	108538207
DDX10	11	108665024
C11orf87	11	109422119
ZC3H12C	11	110093360
RDX	11	110296712
FDX1	11	110429936
ARHGAP20	11	110712728
C11orf53	11	111255981
COLCA2	11	111299250
POU2AF1	11	111379432
BTG4	11	111512354
C11orf88	11	111514784
LAYN	11	111540507
SIK2	11	111602390
PPP2R1B	11	111766445
ALG9	11	111871581
FDXACB1	11	111879457
C11orf1	11	111879223
CRYAB	11	111913213
HSPB2	11	111912735
HSPB2-C11orf52	11	111912735
C11orf52	11	111918876
DIXDC1	11	111977308
DLAT	11	112024813
PIH1D2	11	112074171
C11orf57	11	112074243
TIMM8B	11	112086798
SDHD	11	112086823
IL18	11	112164117
TEX12	11	112167371
BCO2	11	112176365
PTS	11	112226364
PLET1	11	112260860
NCAM1	11	112961246
TTC12	11	113314528
ANKK1	11	113387790
DRD2	11	113475279
TMPRSS5	11	113706373
ZW10	11	113773763
CLDN25	11	113779795
USP28	11	113875570
HTR3B	11	113904795
HTR3A	11	113975074
ZBTB16	11	114059708
NNMT	11	114295812
C11orf71	11	114400550
RBM7	11	114400528
REXO2	11	114439385
NXPE1	11	114559895
NXPE4	11	114595762
NXPE2	11	114678477
CADM1	11	115504523
LINC00900	11	115760200
BUD13	11	116772998
ZPR1	11	116788038
APOA5	11	116792420
APOA4	11	116823295
APOC3	11	116829907
APOA1	11	116837950
SIK3	11	117098415
PAFAH1B2	11	117144283
SIDT2	11	117179222
TAGLN	11	117199323
PCSK7	11	117232525
RNF214	11	117232735
BACE1	11	117316256
BACE1-AS	11	117291345
CEP164	11	117327854
DSCAML1	11	117797261
FXYD2	11	117824744
FXYD6-FXYD2	11	117877031
FXYD6	11	117877031
TMPRSS13	11	117929453
IL10RA	11	117986390
TMPRSS4-AS1	11	118086793
TMPRSS4	11	118077011
SCN4B	11	118152915
SCN2B	11	118176622
JAML	11	118213359
MPZL3	11	118252368
MPZL2	11	118264536
CD3E	11	118304579
CD3D	11	118342744
CD3G	11	118344343
UBE4A	11	118359580
ATP5L	11	118401388
KMT2A	11	118436489
TTC36	11	118527432
TMEM25	11	118531087
IFT46	11	118566076
ARCN1	11	118572386
PHLDB1	11	118607590
TREH	11	118679672
DDX6	11	118791263
CXCR5	11	118883765
BCL9L	11	118910904
UPK2	11	118956297
FOXR1	11	118971706
CCDC84	11	118998132
RPS25	11	119018347
TRAPPC4	11	119018468
SLC37A4	11	119030906
HYOU1	11	119057246
VPS11	11	119067751
HMBS	11	119084876
H2AFX	11	119095467
DPAGT1	11	119102075
C2CD2L	11	119107349
HINFP	11	119121522
ABCG4	11	119149039
NLRX1	11	119168712
PDZD3	11	119185456
CCDC153	11	119195874
CBL	11	119206275
MCAM	11	119317130
RNF26	11	119334499
C1QTNF5	11	119346673
MFRP	11	119346673
USP2	11	119381726
THY1	11	119424128
NECTIN1	11	119728725
TRIM29	11	120138155
OAF	11	120211038
POU2F3	11	120240193
TMEM136	11	120325128
ARHGEF12	11	120336908
GRIK4	11	120564435
TBCEL	11	121024103
TECTA	11	121102665
SC5D	11	121292678
SORL1	11	121452202
MIR100HG	11	122102229
BLID	11	122116215
UBASH3B	11	122655689
CRTAM	11	122838497
C11orf63	11	122882527
BSX	11	122981671
HSPA8	11	123062335
CLMP	11	123195305
GRAMD1B	11	123525635
SCN3B	11	123654607
ZNF202	11	123741683
OR6X1	11	123754518
OR6M1	11	123806349
TMEM225	11	123885642
OR8D4	11	123906431
OR4D5	11	123939616
OR6T1	11	123943838
OR10S1	11	123977691
OR10G4	11	124015574
OR10G9	11	124023012
OR10G8	11	124029622
OR10G7	11	124039001
VWA5A	11	124115403
OR8G1	11	124249675
OR8G5	11	124264826
OR8D1	11	124310766
OR8D2	11	124320197
OR8B2	11	124383343
OR8B3	11	124397351
OR8B4	11	124424871
OR8B8	11	124441085
OR8B12	11	124543654
OR8A1	11	124570068
PANX3	11	124611556
TBRG1	11	124622845
SIAE	11	124673881
SPA17	11	124673843
NRGN	11	124739932
VSIG2	11	124752272
ESAM	11	124762327
MSANTD2	11	124800404
ROBO3	11	124865408
ROBO4	11	124897935
HEPACAM	11	124936412
HEPN1	11	124919249
CCDC15	11	124954120
SLC37A2	11	125063116
TMEM218	11	125111708
PKNOX2	11	125164662
FEZ1	11	125496310
EI24	11	125569386
STT3A-AS1	11	125592568
STT3A	11	125592794
CHEK1	11	125625135
ACRV1	11	125680898
PATE1	11	125746292
PATE2	11	125778819
PATE3	11	125788110
PATE4	11	125833315
HYLS1	11	125883613
PUS3	11	125903221
DDX25	11	125904365
CDON	11	126063292
RPUSD4	11	126211692
FAM118B	11	126211723
SRPRA	11	126268982
FOXRED1	11	126269039
TIRAP	11	126283086
DCPS	11	126303751
ST3GAL4	11	126355644
KIRREL3	11	127000870
ETS1	11	128522310
FLI1	11	128693915
KCNJ1	11	128867373
KCNJ5	11	128891417
C11orf45	11	128905697
TP53AIP1	11	128943399
ARHGAP32	11	129024193
BARX2	11	129375985
LINC01395	11	129617269
TMEM45B	11	129815780
NFRKB	11	129893009
PRDM10	11	130002835
LINC00167	11	130002623
APLP2	11	130069820
ST14	11	130159786
ZBTB44	11	130314712
ADAMTS8	11	130428993
ADAMTS15	11	130448973
C11orf44	11	130672955
SNX19	11	130916487
NTM-AS1	11	131663556
NTM	11	131910817
OPCML	11	132943637
SPATA19	11	133845538
MIR4697HG	11	133901740
IGSF9B	11	133956754
JAM3	11	134068924
NCAPD3	11	134224532
VPS26B	11	134224604
THYN1	11	134253366
ACAD8	11	134253539
GLB1L3	11	134276380
GLB1L2	11	134331873
B3GAT1	11	134411918
LOC283177	11	134436481
FAM138D	12	38133
IQSEC3	12	77375
SLC6A12	12	214205
SLC6A13	12	262873
KDM5A	12	389455
CCDC77	12	401574
B4GALNT3	12	460376
NINJ2	12	663741
WNK1	12	752922
RAD52	12	949722
ERC1	12	991207
LINC00942	12	1500490
FBXL14	12	1594165
WNT5B	12	1617055
ADIPOR2	12	1691080
CACNA2D4	12	1918704
LRTM2	12	1820266
LINC00940	12	1936576
DCP1B	12	2004535
CACNA1C-IT2	12	2048351
CACNA1C	12	2053249
FKBP4	12	2794941
ITFG2	12	2812620
NRIP2	12	2835055
FOXM1	12	2877155
RHNO1	12	2877198
TULP3	12	2890866
TEAD4	12	2959311
TSPAN9	12	3077354
THCAT155	12	3492819
PRMT8	12	3491197
CRACR2A	12	3753200
PARP11	12	3873448
CCND2-AS1	12	4276184
CCND2	12	4273735
TIGAR	12	4321192
FGF23	12	4379728
FGF6	12	4445614
C12orf4	12	4538508
RAD51AP1	12	4538783
DYRK4	12	4590071
AKAP3	12	4649047
NDUFA9	12	4649097
GALNT8	12	4720585
KCNA6	12	4809175
KCNA1	12	4909906
KCNA5	12	5043918
NTF3	12	5494131
ANO2	12	5945259
VWF	12	6124675
CD9	12	6200315
PLEKHG6	12	6310435
TNFRSF1A	12	6342117
SCNN1A	12	6375739
LTBR	12	6384032
CD27-AS1	12	6451517
CD27	12	6444884
TAPBPL	12	6452010
VAMP1	12	6470899
MRPL51	12	6493305
NCAPD2	12	6494131
GAPDH	12	6534404
IFFO1	12	6556083
NOP2	12	6568332
CHD4	12	6607433
LPAR5	12	6636131
ACRBP	12	6647414
ING4	12	6663142
ZNF384	12	6689572
PIANP	12	6700843
COPS7A	12	6723983
MLF2	12	6752916
PTMS	12	6766316
LAG3	12	6772503
CD4	12	6789471
GPR162	12	6821796
P3H3	12	6828372
GNB3	12	6840853
CDCA3	12	6851930
USP5	12	6852126
TPI1	12	6867528
SPSB2	12	6873357
LRRC23	12	6904732
ENO2	12	6914449
ATN1	12	6928316
C12orf57	12	6943816
PTPN6	12	6951270
MIR200CHG	12	6963244
PHB2	12	6970753
EMG1	12	6970780
LPCAT3	12	7018538
C1S	12	7060660
C1RL	12	7109278
RBP5	12	7128891
CLSTN3	12	7130370
PEX5	12	7189685
ACSM4	12	7304331
CD163L1	12	7444185
CD163	12	7503818
APOBEC1	12	7665903
GDF3	12	7695793
DPPA3	12	7711453
CLEC4C	12	7749473
NANOGNB	12	7765215
NANOG	12	7789395
SLC2A14	12	7873039
SLC2A3	12	7936296
FOXJ2	12	8032762
C3AR1	12	8066471
NECAP1	12	8082210
CLEC4A	12	8123631
ZNF705A	12	8172553
FAM90A1	12	8227618
LINC00937	12	8390752
CLEC6A	12	8455994
CLEC4D	12	8513539
CLEC4E	12	8540962
AICDA	12	8612867
MFAP5	12	8662888
RIMKLB	12	8699784
A2ML1	12	8822471
PHC1	12	8914719
M6PR	12	8949761
KLRG1	12	8950043
LINC00612	12	9065070
A2M	12	9116229
PZP	12	9208370
LINC00987	12	9240002
KLRB1	12	9607901
CLEC2D	12	9669707
CLECL1	12	9733299
CD69	12	9760901
KLRF1	12	9827480
CLEC2B	12	9869859
KLRF2	12	9881488
CLEC2A	12	9932381
CLEC12A	12	9971408
CLEC1B	12	9999300
CLEC12B	12	10010626
CLEC9A	12	10030676
CLEC1A	12	10099065
CLEC7A	12	10130269
OLR1	12	10172191
TMEM52B	12	10178957
GABARAPL1	12	10212889
KLRD1	12	10307817
KLRC4-KLRK1	12	10410146
KLRK1	12	10390054
KLRC4	12	10409757
KLRC3	12	10420595
KLRC2	12	10435993
KLRC1	12	10453380
MAGOHB	12	10613609
STYK1	12	10674292
YBX3	12	10723354
TAS2R7	12	10802627
TAS2R8	12	10806980
TAS2R9	12	10810168
TAS2R10	12	10826269
PRH1-PRR4	12	11171625
PRR4	12	10849476
PRH1	12	11171623
TAS2R13	12	10909562
PRH2	12	10929235
TAS2R14	12	10939207
TAS2R50	12	10986912
TAS2R20	12	10998304
TAS2R19	12	11022620
TAS2R31	12	11031407
TAS2R46	12	11062294
TAS2R43	12	11092313
TAS2R30	12	11134244
SMIM10L1	12	11171180
TAS2R42	12	11186937
PRB3	12	11269707
PRB4	12	11310435
PRB1	12	11355590
PRB2	12	11395564
LINC01252	12	11548029
ETV6	12	11649853
BCL2L14	12	12071467
LRP6	12	12266877
MANSC1	12	12350235
LOH12CR2	12	12357067
BORCS5	12	12357078
DUSP16	12	12562514
CREBL2	12	12611832
GPR19	12	12696187
CDKN1B	12	12717269
APOLD1	12	12785606
DDX47	12	12813345
GPRC5A	12	12891021
GPRC5D	12	12950384
HEBP1	12	13000309
FAM234B	12	13044380
GSG1	12	13095806
EMP1	12	13196667
LINC01559	12	13376745
GRIN2B	12	13980088
ATF7IP	12	14365631
PLBD1	12	14567857
GUCY2C	12	14696585
HIST4H4	12	14771131
H2AFJ	12	14774335
WBP11	12	14803467
C12orf60	12	14803571
SMCO3	12	14814182
ART4	12	14843479
MGP	12	14886062
ERP27	12	14938549
ARHGDIB	12	14961770
PDE6H	12	14973021
LINC01489	12	15001832
RERG	12	15221477
RERG-AS1	12	15151922
PTPRO	12	15546343
EPS8	12	15789576
